Date,Year,Donor,Items,Value ($),Country,Continent,Regime
29/12/2016,2016,His Excellency Abdelaziz Bouteflika,Two cases of Algerian wine. Two cases of Algerian dates. ,951,Algeria,Africa,Authoritarian
27/12/2016,2016,His Excellency Shinzo Abe,"Cufflinks, 4 white pearls on polished silver. ",2850,Japan,Asia,Flawed Democracy
01/12/2016,2016,His Majesty Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah,"Book, title:Sinatra.Glass champagne bucket and silver stand. Picture frame, silver, with textured edges. Card and dice game set in wooden box. Wooden keepsake box with Susan B. Anthony quote engraved on top and felt interior. Metal lapel pin in shape of a pennant. Three-wick candle in brown wooden candle holder. Book, title:Taste and Technique. ",2734,Brunei Darussalam,Asia,Authoritarian
17/11/2016,2016,His Excellency Pedro Kuczynski,"Wooden horse with polished metal features, including the mane, bridle, saddle, hooves and tail. Gift box of Peruvian food. ",545,Peru,South America,Flawed Democracy
16/11/2016,2016,Her Excellency Angela Merkel,"Wooden Christmas pyramid comprised of five levels and figures on each level, comes with tea candles and paddles. ",455,Germany,Europe,Full Democracy
15/11/2016,2016,His Excellency Prokopis Pavlopoulos,"Keepsake box, polished metal with hinged lid. 16"" × 23"" print of a color drawing of the President's face, using phrenology, including an explanation of the facial features. 11"" × 16"" print of a color drawing of the President's face, using phrenology. 17"" × 25"" framed print of a color drawing of the President's face, using phrenology, including explanations for the facial features. ",465,Greece,Europe,Flawed Democracy
18/10/2016,2016,His Excellency Matteo Renzi,"Silk tie, navy with red and light blue dots. Four bottles of Italian wine. ",775,Italy,Europe,Flawed Democracy
11/10/2016,2016,Her Excellency Sheikh Hasina,"Red quilted blanket with embroidery in blue, green, and yellow, depicting human figures, plant life, and nature scenes. ",390,Bangladesh,Asia,Hybrid Regime
29/09/2016,2016,His Excellency General Prayut Chan-o-cha,Polished silver keepsake box with red-brown marble interior. ,900,Thailand,Asia,Hybrid Regime
21/09/2016,2016,His Excellency Juan Manuel Santos Calderón,"Book, title:Acuerdo Final Para la Terminacion del Conflicto y la Construccion de una Paz, Estable y Duradera.Book set of titles by Gabriel Garcia Marquez. ",520,Colombia,South America,Flawed Democracy
19/09/2016,2016,His Excellency Li Keqiang,"Vase, dark blue with engraved swirl pattern, pink flowers, green leaves and hummingbirds, on a wooden stand. ",2200,China,Asia,Authoritarian
08/09/2016,2016,His Excellency Joko Widodo,"Silver Phinisi sailing boat scuplture on a wood plinth, under a glass case. ",380,Indonesia,Asia,Flawed Democracy
08/09/2016,2016,His Excellency Rodrigo Duterte,"Metallic sculpture of six men carrying a boat, in Bayanihan style, mounted on marble. ",470,Philippines,Asia,Flawed Democracy
08/09/2016,2016,His Excellency Thongloun Sisoulith,"6"" silver plate with wood stand. Five cases of Lao Gold beer. ",415,Laos,Asia,Authoritarian
07/09/2016,2016,ASEAN Organizing Committee for the Lao People's Democratic Republic,"Black leather business portfolio notebook. Black fine tip Sonnet pen. Paper hand fan. Briefcase, dark brown leather with combination lock. Goldtone coin. Laotian black tea. ",458,Laos,Asia,Authoritarian
06/09/2016,2016,His Excellency Bounnhang Vorachit,"Silver serving set with repoussé metalwork designs, including a large bowl and five small containers with lids. ",1200,Laos,Asia,Authoritarian
31/08/2016,2016,His Excellency Édouard Fritch,Wooden ceremonial paddle with Polynesian carvings. ,440,French Polynesia,Oceania,N.A.
24/08/2016,2016,His Excellency Xi Jinping,Seagreen celadon style vase with dragon and phoenix handles and wooden base. ,2200,China,Asia,Authoritarian
22/07/2016,2016,His Excellency Enrique Peña Nieto,"Silver coin engraved with the Great Seal of the United States. Stationery set including personalized cards, a pen, and wooden storage box carved with the Great Seal of the United States. ",2850,Mexico,North America,Flawed Democracy
10/07/2016,2016,His Excellency Mariano Rajoy,Cured hind ham leg with cutting knife. ,733,Spain,Europe,Full Democracy
10/07/2016,2016,His Majesty Felipe VI,"5' × 4' framed photograph of the Royal Palace. Book, title:The Ingenious Hidalgo Don Quixote de la Mancha.Book, title:Madrid. ",1270,Spain,Europe,Full Democracy
